passenger_id,origin_station_id,destination_station_id,tap_in_timestamp
1,101,103,590
2,101,103,1259
3,101,103,6337
4,101,103,6918
5,101,103,7191
6,101,103,7611
7,101,103,8826
8,101,103,9083
9,101,103,9019
10,101,103,14317
11,101,103,15528
12,101,103,16608
13,101,103,17832
14,101,103,18995
15,101,103,21541
16,101,103,21489
17,101,103,20785
18,101,103,21072
19,101,103,21231
20,101,103,22877
21,101,103,23956
22,101,103,24980
23,101,103,24863
24,101,103,25099
25,101,103,25918
26,101,103,25576
27,101,103,25982
28,101,103,26623
29,101,103,26963
30,101,103,26339
31,101,103,26331
32,101,103,26752
33,101,103,26423
34,101,103,26817
35,101,103,26436
36,101,103,27872
37,101,103,27154
38,101,103,27385
39,101,103,27187
40,101,103,27978
41,101,103,27951
42,101,103,28571
43,101,103,28256
44,101,103,28569
45,101,103,28255
46,101,103,28141
47,101,103,28147
48,101,103,29131
49,101,103,29137
50,101,103,29138
51,101,103,29298
52,101,103,28861
53,101,103,30565
54,101,103,29842
55,101,103,29867
56,101,103,30086
57,101,103,30720
58,101,103,31370
59,101,103,31441
60,101,103,30712
61,101,103,31206
62,101,103,30969
63,101,103,31139
64,101,103,30752
65,101,103,32232
66,101,103,32372
67,101,103,32069
68,101,103,31657
69,101,103,32229
70,101,103,32107
71,101,103,32204
72,101,103,32405
73,101,103,34133
74,101,103,34078
75,101,103,33929
76,101,103,33431
77,101,103,34925
78,101,103,35391
79,101,103,36039
80,101,103,37345
81,101,103,37204
82,101,103,36922
83,101,103,37010
84,101,103,40394
85,101,103,40281
86,101,103,39922
87,101,103,39934
88,101,103,40729
89,101,103,41040
90,101,103,41701
91,101,103,41821
92,101,103,41980
93,101,103,42576
94,101,103,42896
95,101,103,42930
96,101,103,44032
97,101,103,43901
98,101,103,43957
99,101,103,44036
100,101,103,43648
101,101,103,44092
102,101,103,44661
103,101,103,44859
104,101,103,45182
105,101,103,45733
106,101,103,46309
107,101,103,46271
108,101,103,47553
109,101,103,47590
110,101,103,46811
111,101,103,46829
112,101,103,47401
113,101,103,47953
114,101,103,48917
115,101,103,49302
116,101,103,49793
117,101,103,49752
118,101,103,49885
119,101,103,49889
120,101,103,50128
121,101,103,50830
122,101,103,50836
123,101,103,51184
124,101,103,51556
125,101,103,52133
126,101,103,51906
127,101,103,51421
128,101,103,52373
129,101,103,52580
130,101,103,54619
131,101,103,55686
132,101,103,54958
133,101,103,55863
134,101,103,56120
135,101,103,55981
136,101,103,56459
137,101,103,56084
138,101,103,56031
139,101,103,57290
140,101,103,56999
141,101,103,57505
142,101,103,57556
143,101,103,57322
144,101,103,56703
145,101,103,57603
146,101,103,57724
147,101,103,57926
148,101,103,58598
149,101,103,59389
150,101,103,58810
151,101,103,58607
152,101,103,58796
153,101,103,59197
154,101,103,60150
155,101,103,59782
156,101,103,61037
157,101,103,60702
158,101,103,60962
159,101,103,61073
160,101,103,60715
161,101,103,61049
162,101,103,60783
163,101,103,61491
164,101,103,61353
165,101,103,61349
166,101,103,61645
167,101,103,62640
168,101,103,62428
169,101,103,62592
170,101,103,62227
171,101,103,62651
172,101,103,63785
173,101,103,63828
174,101,103,63467
175,101,103,64154
176,101,103,63971
177,101,103,64005
178,101,103,64230
179,101,103,64245
180,101,103,64622
181,101,103,63906
182,101,103,68820
183,101,103,70994
184,101,103,71612
185,101,103,71653
186,101,103,72663
187,101,103,72060
188,101,103,72460
189,101,103,73520
190,101,103,73120
191,101,103,73164
192,101,103,73749
193,101,103,73865
194,101,103,75022
195,101,103,76389
196,101,103,76066
197,101,103,77918
198,101,103,80514
199,101,103,84434
200,101,103,86022
201,101,105,3862
202,101,105,6580
203,101,105,9299
204,101,105,17217
205,101,105,17805
206,101,105,19310
207,101,105,20940
208,101,105,20910
209,101,105,22258
210,101,105,23089
211,101,105,22858
212,101,105,23849
